<source_id>,<source_type>,<dest_id>,<dest_type>,<link_type>,<link_traffic>,<link_saturation>,<stalled_chunks>
100,T,25,R,CN,0,0.000000,0
101,T,25,R,CN,0,0.000000,0
102,T,25,R,CN,0,0.000000,0
103,T,25,R,CN,0,0.000000,0
104,T,26,R,CN,0,0.000000,0
105,T,26,R,CN,0,0.000000,0
106,T,26,R,CN,0,0.000000,0
107,T,26,R,CN,0,0.000000,0
108,T,27,R,CN,0,0.000000,0
109,T,27,R,CN,0,0.000000,0
110,T,27,R,CN,0,0.000000,0
111,T,27,R,CN,0,0.000000,0
112,T,28,R,CN,0,0.000000,0
113,T,28,R,CN,0,0.000000,0
114,T,28,R,CN,0,0.000000,0
115,T,28,R,CN,0,0.000000,0
116,T,29,R,CN,0,0.000000,0
117,T,29,R,CN,0,0.000000,0
118,T,29,R,CN,0,0.000000,0
119,T,29,R,CN,0,0.000000,0
120,T,30,R,CN,0,0.000000,0
121,T,30,R,CN,0,0.000000,0
122,T,30,R,CN,0,0.000000,0
123,T,30,R,CN,0,0.000000,0
124,T,31,R,CN,0,0.000000,0
125,T,31,R,CN,0,0.000000,0
126,T,31,R,CN,0,0.000000,0
127,T,31,R,CN,0,0.000000,0
24,R,25,R,L,0,0.000000,0
24,R,26,R,L,0,0.000000,0
24,R,27,R,L,0,0.000000,0
24,R,28,R,L,0,0.000000,0
24,R,29,R,L,0,0.000000,0
24,R,30,R,L,0,0.000000,0
24,R,31,R,L,0,0.000000,0
24,R,39,R,G,0,0.000000,0
24,R,47,R,G,0,0.000000,0
24,R,55,R,G,0,0.000000,0
24,R,63,R,G,0,0.000000,0
24,R,96,T,CN,0,0.000000,0
24,R,97,T,CN,0,0.000000,0
24,R,98,T,CN,0,0.000000,0
24,R,99,T,CN,0,0.000000,0
25,R,24,R,L,0,0.000000,0
25,R,26,R,L,0,0.000000,0
25,R,27,R,L,0,0.000000,0
25,R,28,R,L,0,0.000000,0
25,R,29,R,L,0,0.000000,0
25,R,30,R,L,0,0.000000,0
25,R,31,R,L,0,0.000000,0
25,R,70,R,G,0,0.000000,0
25,R,78,R,G,0,0.000000,0
25,R,86,R,G,0,0.000000,0
25,R,94,R,G,0,0.000000,0
25,R,100,T,CN,0,0.000000,0
25,R,101,T,CN,0,0.000000,0
25,R,102,T,CN,0,0.000000,0
25,R,103,T,CN,0,0.000000,0
26,R,24,R,L,0,0.000000,0
26,R,25,R,L,0,0.000000,0
26,R,27,R,L,0,0.000000,0
26,R,28,R,L,0,0.000000,0
26,R,29,R,L,0,0.000000,0
26,R,30,R,L,0,0.000000,0
26,R,31,R,L,0,0.000000,0
26,R,101,R,G,0,0.000000,0
26,R,109,R,G,0,0.000000,0
26,R,117,R,G,0,0.000000,0
26,R,125,R,G,0,0.000000,0
26,R,104,T,CN,0,0.000000,0
26,R,105,T,CN,0,0.000000,0
26,R,106,T,CN,0,0.000000,0
26,R,107,T,CN,0,0.000000,0
27,R,24,R,L,0,0.000000,0
27,R,25,R,L,0,0.000000,0
27,R,26,R,L,0,0.000000,0
27,R,28,R,L,0,0.000000,0
27,R,29,R,L,0,0.000000,0
27,R,30,R,L,0,0.000000,0
27,R,31,R,L,0,0.000000,0
27,R,132,R,G,0,0.000000,0
27,R,140,R,G,0,0.000000,0
27,R,148,R,G,0,0.000000,0
27,R,156,R,G,0,0.000000,0
27,R,108,T,CN,0,0.000000,0
27,R,109,T,CN,0,0.000000,0
27,R,110,T,CN,0,0.000000,0
27,R,111,T,CN,0,0.000000,0
28,R,24,R,L,0,0.000000,0
28,R,25,R,L,0,0.000000,0
28,R,26,R,L,0,0.000000,0
28,R,27,R,L,0,0.000000,0
28,R,29,R,L,0,0.000000,0
28,R,30,R,L,0,0.000000,0
28,R,31,R,L,0,0.000000,0
28,R,163,R,G,0,0.000000,0
28,R,171,R,G,0,0.000000,0
28,R,179,R,G,0,0.000000,0
28,R,187,R,G,0,0.000000,0
28,R,112,T,CN,0,0.000000,0
28,R,113,T,CN,0,0.000000,0
28,R,114,T,CN,0,0.000000,0
28,R,115,T,CN,0,0.000000,0
29,R,24,R,L,0,0.000000,0
29,R,25,R,L,0,0.000000,0
29,R,26,R,L,0,0.000000,0
29,R,27,R,L,0,0.000000,0
29,R,28,R,L,0,0.000000,0
29,R,30,R,L,0,0.000000,0
29,R,31,R,L,0,0.000000,0
29,R,194,R,G,0,0.000000,0
29,R,202,R,G,0,0.000000,0
29,R,210,R,G,0,0.000000,0
29,R,218,R,G,0,0.000000,0
29,R,116,T,CN,0,0.000000,0
29,R,117,T,CN,0,0.000000,0
29,R,118,T,CN,0,0.000000,0
29,R,119,T,CN,0,0.000000,0
30,R,24,R,L,0,0.000000,0
30,R,25,R,L,0,0.000000,0
30,R,26,R,L,0,0.000000,0
30,R,27,R,L,0,0.000000,0
30,R,28,R,L,0,0.000000,0
30,R,29,R,L,0,0.000000,0
30,R,31,R,L,0,0.000000,0
30,R,225,R,G,0,0.000000,0
30,R,233,R,G,0,0.000000,0
30,R,241,R,G,0,0.000000,0
30,R,249,R,G,0,0.000000,0
30,R,120,T,CN,0,0.000000,0
30,R,121,T,CN,0,0.000000,0
30,R,122,T,CN,0,0.000000,0
30,R,123,T,CN,0,0.000000,0
31,R,24,R,L,0,0.000000,0
31,R,25,R,L,0,0.000000,0
31,R,26,R,L,0,0.000000,0
31,R,27,R,L,0,0.000000,0
31,R,28,R,L,0,0.000000,0
31,R,29,R,L,0,0.000000,0
31,R,30,R,L,0,0.000000,0
31,R,0,R,G,0,0.000000,0
31,R,8,R,G,0,0.000000,0
31,R,16,R,G,0,0.000000,0
31,R,256,R,G,0,0.000000,0
31,R,124,T,CN,0,0.000000,0
31,R,125,T,CN,0,0.000000,0
31,R,126,T,CN,0,0.000000,0
31,R,127,T,CN,0,0.000000,0
128,T,32,R,CN,0,0.000000,0
129,T,32,R,CN,0,0.000000,0
130,T,32,R,CN,0,0.000000,0
131,T,32,R,CN,0,0.000000,0
132,T,33,R,CN,0,0.000000,0
133,T,33,R,CN,0,0.000000,0
134,T,33,R,CN,0,0.000000,0
135,T,33,R,CN,0,0.000000,0
136,T,34,R,CN,0,0.000000,0
137,T,34,R,CN,0,0.000000,0
138,T,34,R,CN,0,0.000000,0
139,T,34,R,CN,0,0.000000,0
140,T,35,R,CN,0,0.000000,0
141,T,35,R,CN,0,0.000000,0
142,T,35,R,CN,0,0.000000,0
143,T,35,R,CN,0,0.000000,0
144,T,36,R,CN,0,0.000000,0
145,T,36,R,CN,0,0.000000,0
146,T,36,R,CN,0,0.000000,0
147,T,36,R,CN,0,0.000000,0
148,T,37,R,CN,0,0.000000,0
149,T,37,R,CN,0,0.000000,0
150,T,37,R,CN,0,0.000000,0
151,T,37,R,CN,0,0.000000,0
152,T,38,R,CN,0,0.000000,0
153,T,38,R,CN,0,0.000000,0
154,T,38,R,CN,0,0.000000,0
155,T,38,R,CN,0,0.000000,0
156,T,39,R,CN,0,0.000000,0
157,T,39,R,CN,0,0.000000,0
158,T,39,R,CN,0,0.000000,0
159,T,39,R,CN,0,0.000000,0
32,R,33,R,L,0,0.000000,0
32,R,34,R,L,0,0.000000,0
32,R,35,R,L,0,0.000000,0
32,R,36,R,L,0,0.000000,0
32,R,37,R,L,0,0.000000,0
32,R,38,R,L,0,0.000000,0
32,R,39,R,L,0,0.000000,0
32,R,47,R,G,0,0.000000,0
32,R,55,R,G,0,0.000000,0
32,R,63,R,G,0,0.000000,0
32,R,71,R,G,0,0.000000,0
32,R,128,T,CN,0,0.000000,0
32,R,129,T,CN,0,0.000000,0
32,R,130,T,CN,0,0.000000,0
32,R,131,T,CN,0,0.000000,0
33,R,32,R,L,0,0.000000,0
33,R,34,R,L,0,0.000000,0
33,R,35,R,L,0,0.000000,0
33,R,36,R,L,0,0.000000,0
33,R,37,R,L,0,0.000000,0
33,R,38,R,L,0,0.000000,0
33,R,39,R,L,0,0.000000,0
33,R,78,R,G,0,0.000000,0
33,R,86,R,G,0,0.000000,0
33,R,94,R,G,0,0.000000,0
33,R,102,R,G,0,0.000000,0
33,R,132,T,CN,0,0.000000,0
33,R,133,T,CN,0,0.000000,0
33,R,134,T,CN,0,0.000000,0
33,R,135,T,CN,0,0.000000,0
34,R,32,R,L,0,0.000000,0
34,R,33,R,L,0,0.000000,0
34,R,35,R,L,0,0.000000,0
34,R,36,R,L,0,0.000000,0
34,R,37,R,L,0,0.000000,0
34,R,38,R,L,0,0.000000,0
34,R,39,R,L,0,0.000000,0
34,R,109,R,G,0,0.000000,0
34,R,117,R,G,0,0.000000,0
34,R,125,R,G,0,0.000000,0
34,R,133,R,G,0,0.000000,0
34,R,136,T,CN,0,0.000000,0
34,R,137,T,CN,0,0.000000,0
34,R,138,T,CN,0,0.000000,0
34,R,139,T,CN,0,0.000000,0
35,R,32,R,L,0,0.000000,0
35,R,33,R,L,0,0.000000,0
35,R,34,R,L,0,0.000000,0
35,R,36,R,L,0,0.000000,0
35,R,37,R,L,0,0.000000,0
35,R,38,R,L,0,0.000000,0
35,R,39,R,L,0,0.000000,0
35,R,140,R,G,0,0.000000,0
35,R,148,R,G,0,0.000000,0
35,R,156,R,G,0,0.000000,0
35,R,164,R,G,0,0.000000,0
35,R,140,T,CN,0,0.000000,0
35,R,141,T,CN,0,0.000000,0
35,R,142,T,CN,0,0.000000,0
35,R,143,T,CN,0,0.000000,0
36,R,32,R,L,0,0.000000,0
36,R,33,R,L,0,0.000000,0
36,R,34,R,L,0,0.000000,0
36,R,35,R,L,0,0.000000,0
36,R,37,R,L,0,0.000000,0
36,R,38,R,L,0,0.000000,0
36,R,39,R,L,0,0.000000,0
36,R,171,R,G,0,0.000000,0
