con-par,,,rand-par,,,cont-min,,,rand-min,,
baseline,workload1,wkload2 ,baseline,workload1,wkload2 ,baseline,workload1,wkload2 ,baseline,workload1,wkload2 
1508129976,1483371545,1427460165,118798717,199512572.9,194481222.6,1472083901,1472083901,1472083901,86094476.32,177547109.3,166293345
1492619867,1462693088,1399028341,162291344.4,241616983.1,224199565.5,1461742140,1461742140,1461742140,126255559.1,218578334.6,199076480.1
1521020224,1475581009,1432594720,137824834.9,217517896,218153778.6,1402306142,1402306142,1402306142,123532259.4,207847181.2,190533640.1
1513265169,1457095672,1414502970,40334174.37,853472894.5,837270006.1,1399719435,1399719435,1399719435,40334174.37,896759969.6,879856332.2
1501469940,1473872506,1421417324,42919817.55,867453278.8,852266520.2,1522369875,1522369875,1522369875,42919190.52,913627448.6,897030694.8
1496298215,1473869130,1405908903,426491833.8,592657733.6,584431341.7,1512029803,1512029803,1512029803,431219759.3,544753481.8,596104021.4
1310001561,1233101463,1281372245,438531773.3,592396423.5,596386392.6,1401870383,1401870383,1401870383,478983057.5,590230064.1,615775758.8
1231778240,1266537433,1077510107,419387039.9,574537757.6,589093230.8,1302167536,1302167536,1302167536,426114379.6,550531439.9,568871054.6
1428385280,1369095344,1463422825,392107481.5,546452809.6,585470809.9,1684178016,1684178016,1684178016,442176592.9,555724113.1,581245060.3
1326131963,1315588252,1199013121,385353134.3,578529151.6,592323558.2,1668667906,1668667906,1668667906,400834745.3,560491596.8,586603010
1463590760,1522880696,1530464972,429530224,591151507.9,601074528,1666084786,1666084786,1666084786,447680233.4,570364804,598535182.1
1502201498,1507370586,1509786396,357814656,1104485562,1100196422,1650574677,1650574677,1650574677,358019557.7,1097974939,1061601151
1559969860,1552240172,1564856673,362288451.3,1118122744,1110279349,1593544474,1593544474,1593544474,372562865.6,1109666679,1065885025
1523389391,1515659703,1538614590,355979557.7,1100121652,1094275948,1558454976,1558454976,1558454976,347682977.7,1091885987,1051723196
1565137999,1575501543,1557101616,359046276.6,1110606822,1115148897,1549106865,1549106865,1549106865,359601849.3,1104147822,1072375920
1572894744,1583258288,1575196746,259797989,1035930465,1020561968,1585789624,1585789624,1585789624,273951812.5,1006148585,969752026.2
1556964519,1538894915,1559259205,185556362.3,1056675044,1084706115,1569887412,1569887412,1569887412,202521257.8,1017817458,1076956925
1554773085,1547043556,1582916268,186916743.1,1043783724,1076781291,1601297840,1601297840,1601297840,211987753,1036197986,1095960120
1580619685,1590983387,1575161213,171642184.8,1028792192,1061040375,1529529168,1529529168,1529529168,202851359.9,1019279144,1073903582
1590961446,1598740130,1588086305,256803400.2,614097922.8,722752164.7,1596129699,1596129699,1596129699,208258173.5,636812791.1,626699055.2
1619426544,1619504212,1624350620,292005474.7,611565502.1,701764407.6,1645186774,1645186774,1645186774,260379539.1,627910570.4,619469035.4
1606504830,1606582496,1616597253,306097726.3,622665303.5,726855444.3,1645185085,1645185085,1645185085,286710623.3,654949507.7,637888832.4
1622009666,1624672352,1624350620,296430293.3,602406045.5,720142617.8,1616753469,1616753469,1616753469,235362871.7,617456322.8,601089872.2
1616736450,1599638295,1596770859,240922828,546440551.2,662763587.9,1515100971,1515100971,1515100971,220357728.4,585726714.1,578267417.8
1603781290,1584095369,1586400668,443807927.7,562198215.5,582408391.5,1504760688,1504760688,1504760688,227569601.8,358880419.9,416223717
1577934483,1558248562,1565722209,467841591.2,605556285,607277708.4,1478005454,1478005454,1478005454,354373912,468504009.5,551088487.6
1621874526,1602188605,1594155726,436213679.8,592232833.1,593868911.6,1357604627,1357604627,1357604627,339752757.2,387335310.5,483313437.8
1596027715,1573756776,1573477265,407664493.8,530512919.5,564038067.3,1491835803,1491835803,1491835803,346600045.5,420147208.3,533213575.1
1543374500,1528722570,1528718554,452047150.7,587078905.5,591778074.3,1579631585,1579631585,1579631585,346946977,455375450.4,537406087.2
1527864390,1513212458,1513208442,415242440.7,539210047.4,543890152.9,1579628209,1579628209,1579628209,317700349.3,418019120.4,478486768.4
1489092909,1463504421,1447393811,470118463.8,603645657.3,614326243.7,1515009920,1515009920,1515009920,351254106.9,460336548.2,541366706
1493666462,1489951088,1484777035,409977631.7,560155470.2,577393318.3,1556366839,1556366839,1556366839,342470730.9,501360386.8,459863671
1566600596,1551947938,1551943922,419282254.4,572637169.8,589823199,1577046568,1577046568,1577046568,357192553.5,516017401.5,475128183.9
1551090486,1536437828,1536433811,427527249.8,564700306.4,574050476.9,1577043192,1577043192,1577043192,387572650.8,513087250.6,469520176.4
1517489039,1502836380,1497662327,406664737.2,552487572.6,550131226.9,1527935012,1527935012,1527935012,304589559.9,458820340.6,409420805.1
1532999149,1518346491,1518342475,426963397.4,539272801.9,571255013.3,1569291931,1569291931,1569291931,376491529.7,492533146.3,450678413.5
1456667361,1437732142,1445399742,421155146.9,534028505.5,561896652.1,1550265891,1550265891,1550265891,404814526,517276345,479190829.8
1249135300,1286783101,1324198404,357796767,500497531.5,521390499.7,1455731391,1455731391,1455731391,341278992,461541872.1,424343746.8
1578829993,1558287546,1515700927,639715407.1,779750916.4,772129171.2,1514819110,1514819110,1514819110,553980229,689821887.5,737653641.9
1581416551,1571210920,1518287516,671031288.2,784757472.3,766864879.1,1527742515,1527742515,1527742515,563044979.5,663046298.1,718558055.7
1501087693,1441516364,1493909845,673368608.9,772954702.2,759244757.2,1466913184,1466913184,1466913184,614194273.2,720830814,765526507.3
1511937542,1485175883,1475424507,647478945.8,748950601.9,761931982.7,1458764543,1458764543,1458764543,609241596.3,705460970.8,749627796.4
1514181222,1529497362,1438040061,608111407.1,714080745.9,712700769.9,1490213832,1490213832,1490213832,564956399.8,668461033.4,704373427.9
1533484901,1483556325,1349139969,643660974.4,767571911.4,752994864.9,1476895152,1476895152,1476895152,591082692.2,685781884.5,737609685.8
1575157447,1575536560,1546090620,663884262.3,756675924.8,766156804.4,1324942427,1324942427,1324942427,584016343.5,683826396.2,723560391.2
1582912502,1580706598,1548675637,654867824,752240865,762715103.9,1390048612,1390048612,1390048612,583639862.1,679841769.3,716201347.4
1598422613,1616861375,1590018193,368071265,689349162,747720373.1,1427059836,1427059836,1427059836,311919482.4,505653903,709681112.4
