con-par,,rand-par,,cont-min,,rand-min,
baseline,workload2,baseline,workload2,baseline,workload2,baseline,workload2
11808.31893,11766.23245,14498.37637,15265.28889,33432.52179,33432.52179,11454.73757,11484.28612
11628.49768,11592.06132,15822.32249,16313.35485,33652.50565,33652.50565,12763.33498,12882.94267
11881.43326,11887.99681,16476.49681,16796.71759,50876.88475,50876.88475,9832.932019,10476.30029
11806.01366,11765.50445,17489.8707,17836.45118,51090.89544,51090.89544,12262.24093,12563.92287
12076.83558,12059.93134,15571.71497,15922.22023,40975.25669,40975.25669,10416.72078,10962.291
11588.529,11575.96233,15675.3863,15662.2248,48177.27824,48177.27824,11320.30024,13380.72381
11158.78826,11182.76309,18744.07126,19019.62162,48652.83252,48652.83252,14997.16257,15072.57789
13531.02472,13534.90444,20805.7033,20591.96833,54239.01958,54239.01958,17734.2625,18570.51071
16004.53378,15928.10098,19262.32933,19936.80523,44596.95453,44596.95453,14808.63993,15095.75667
12815.08115,12786.57329,19492.72931,19232.78903,47417.73371,47417.73371,16220.65537,18643.59802
12691.44885,12597.40771,15057.40931,15715.36591,46769.40523,46769.40523,11971.73083,12554.3706
14371.05444,14315.67399,15809.9193,16454.07131,42708.67775,42708.67776,13222.09625,13176.04101
12494.49417,12564.68881,22461.64536,21831.73901,34994.22241,34994.22241,17665.93872,19208.84021
14186.06726,14155.01022,24467.68822,23927.86338,53635.80372,53635.80372,20333.09172,20392.78938
11124.24711,11115.43234,25183.76496,24501.00078,48257.6504,48257.6504,24523.50638,27417.32868
11103.11225,11119.57038,21133.54866,21820.31759,48570.58259,48570.58259,20846.51007,21162.92842
13497.16705,13431.63527,20783.42775,20885.14259,37643.42684,37643.42684,17876.59935,16538.92505
15355.06342,15226.1407,22206.8699,21448.14126,53892.71146,53892.71146,14015.5977,14327.32604
15602.91644,15494.30803,20665.05271,20988.51632,51625.89934,51625.89934,17856.63739,17733.41246
13371.92437,13392.93432,24562.49002,24232.73606,56054.42572,56054.42572,26891.04772,26981.40296
14733.95772,14710.6989,25313.9624,24344.24799,58858.971,58858.971,17739.20762,19064.98506
9864.204273,9957.782033,27331.78151,26709.15858,24881.56531,24881.56531,28668.7781,28503.89358
8662.735338,8715.88945,21725.76216,21692.65074,24418.88981,24418.88981,14563.70623,15178.39061
14269.03449,14500.44657,24021.64126,23185.61929,21435.89187,21435.89187,20150.32292,19968.05935
14452.09973,14373.88695,22342.81839,22509.16846,25454.10537,25454.10537,23676.90797,22830.76498
13413.26658,13549.97232,21868.8632,21059.49006,14696.48609,14696.48609,21265.61649,19575.66672
10909.67634,10906.98164,24026.49679,25369.67663,17677.93829,17677.93829,17256.84628,20115.6001
19193.13681,19311.18639,20970.72572,20979.11434,38844.98005,38844.98005,23091.1533,22221.0971
13349.45922,13419.71104,23681.08426,23928.68875,41665.45678,41665.45678,18507.75992,19206.70447
9926.202842,9917.337147,27176.20893,25827.44345,34436.53407,34436.53407,19360.35222,20902.10511
11902.59376,11910.68149,27518.98403,26636.95371,32346.49444,32346.49444,30372.5733,29121.55785
11887.5543,11815.66101,22446.80725,22676.58896,33051.52427,33051.52427,27744.60165,26322.78771
12083.60395,12113.40325,23185.94976,23312.97378,51061.49243,51061.49243,25634.06768,25367.12497
12151.58057,12138.12747,18875.37974,19130.89085,49466.83963,49466.83963,10226.95269,9838.364964
12479.62678,12505.53868,25516.75489,24986.3714,41090.7017,41090.7017,21355.4689,21317.76417
11889.6218,11866.09839,24535.94771,24099.74404,47899.74534,47899.74534,16402.21062,16200.80229
11522.11346,11551.38778,25184.74441,25329.66062,48677.21242,48677.21242,14319.48299,16368.06605
13880.55328,13879.49542,21176.67373,20873.3271,53425.34205,53425.34205,14948.57596,14755.68981
16041.21807,16104.92575,20452.7605,20090.77472,43149.20748,43149.20748,13415.5285,13959.1855
12862.97752,12805.37186,23050.7614,23564.48251,47518.48857,47518.48857,15670.49345,15292.45274
12712.1805,12803.39893,20721.64228,22000.49758,47090.83589,47090.83589,19774.7734,21396.03731
14397.90871,14312.63645,22685.93252,23660.07225,42490.42761,42490.42761,15730.16573,16158.1486
12845.70974,12908.05618,21933.72399,21390.25285,36438.2473,36438.2473,20171.3984,20186.456
14328.36017,14381.03786,18545.87229,18428.82802,54160.39615,54160.39615,11514.26498,12469.19369
11457.71547,11468.78696,15618.49426,15801.19346,49183.52935,49183.52935,11476.06825,12531.65459
11410.58371,11410.27302,20478.81186,20424.25667,48367.90634,48367.90634,14837.6304,15375.11355
13519.07154,13457.97448,18226.13174,17710.3862,37199.32815,37199.32815,21416.07092,21373.899
14805.33773,14809.21269,17196.54993,17337.09705,54427.06218,54427.06218,13651.38928,13955.92425
15549.47947,15570.18127,18074.47336,18216.26064,53078.50959,53078.50959,17227.76924,17184.25988
13337.64413,13395.41165,17912.88546,17450.11951,56707.29377,56707.29377,19036.46908,18245.76788
14718.74603,14707.04737,18287.61055,17901.8514,59224.70098,59224.70098,11590.78203,11802.96834
9640.776404,9636.262699,19038.91002,19354.74274,25355.29498,25355.29498,24310.64374,23917.29925
8442.119881,8464.637119,15998.55917,16542.01814,26826.38732,26826.38732,9601.170246,9746.968423
13841.30501,13745.03091,22003.26643,22322.2024,24083.85093,24083.85093,13619.2079,14466.15124
13942.81681,14041.19276,23369.86696,22443.70651,26292.26538,26292.26538,17582.22611,16198.02349
12825.56109,12774.84922,18503.1447,18852.07072,14900.61352,14900.61352,16276.2775,15928.87057
11474.91853,11519.30383,18717.10971,18728.36526,18903.60608,18903.60609,14378.17858,14064.16115
18842.06709,18831.81582,18454.00023,19308.67147,38189.26941,38189.26941,12812.80317,13637.50152
13621.06881,13664.32441,17889.13485,18296.95582,36282.08304,36282.08304,13475.6348,14169.92589
9918.534163,9907.381727,21560.86646,21259.24876,32689.58817,32689.58817,15556.70469,14848.88839
11671.06318,11685.36491,20141.02465,20333.27556,32832.60141,32832.60142,18110.72984,16912.83961
12011.18303,12018.32484,15329.78746,16065.17672,33602.07016,33602.07016,13371.79537,13698.01386
11808.56768,11748.47906,17147.46408,20217.27658,49679.66118,49679.66118,13525.94414,16297.51606
11548.03876,11528.14727,16868.42722,17209.65776,50547.95288,50547.95288,16183.49633,15319.64794
11969.76563,12002.3534,18230.90591,17906.52991,40809.16846,40809.16846,13735.2536,13674.80179
11590.02448,11599.56914,22148.26705,20735.66221,47508.32556,47508.32556,16454.41526,15574.84572
11009.26656,10963.02191,23847.44538,22493.07758,48246.59146,48246.59146,14594.74336,15106.10903
13284.15374,13334.62499,18513.9171,18079.3884,53872.01014,53872.01014,17631.32259,16988.30927
15765.98997,15766.165,19586.56708,18760.7799,43540.32472,43540.32472,16924.85249,16959.80097
12583.42689,12581.73912,19777.78276,19909.58446,46937.53903,46937.53903,16349.07608,16430.62307
12631.66135,12730.41977,19107.92386,18815.84351,45015.51127,45015.51128,15316.66178,15337.3937
13617.49885,13659.2712,17803.93995,18497.56775,44065.09273,44065.09273,13604.02498,13613.77788
12468.19356,12392.11512,18566.93989,20703.75354,34083.93642,34083.93642,14855.91554,15539.4652
14055.06812,14056.01801,17960.9364,17891.80468,53328.01033,53328.01033,13695.3939,13947.38369
10963.65185,11000.76455,16852.78186,17086.74878,48913.03254,48913.03254,14577.21513,14409.22136
11024.41691,11047.01042,16419.78553,16819.02005,48490.10344,48490.10344,13186.0126,13711.31978
13242.85167,13240.92188,16066.67931,16372.67668,39188.55853,39188.55854,10802.31982,11456.18464
14809.45757,14836.48055,16348.27837,16652.05358,54336.70317,54336.70317,11773.08138,13093.6499
14527.48848,14524.70331,13928.39619,14602.53659,52193.87732,52193.87732,13126.63826,12399.32902
13415.4671,13341.99625,14579.23547,14888.45433,56521.10211,56521.10211,11083.99947,11026.04824
14488.86823,14448.62547,18381.13359,20690.10596,58885.05781,58885.05781,17168.34579,19691.77491
9570.131241,9555.803801,17385.04953,17865.37034,25183.86136,25183.86136,16325.489,17055.58513
8433.117018,8435.298964,15719.2825,15916.17875,24482.32457,24482.32457,11906.83691,11887.55419
14877.17231,14791.22579,16273.05019,16638.58028,57624.38343,57624.38343,15799.50602,15180.68435
17044.91658,16914.98657,16815.23779,16828.96911,55593.85985,55593.85985,12718.89497,12628.86445
15741.4764,15668.70796,15208.9761,15507.78231,44555.02034,44555.02034,12392.34095,11886.68072
10103.43105,10107.32069,16318.52643,16731.45669,44779.84063,44779.84063,13597.31929,13891.08868
22342.85263,22377.08235,15067.81571,15473.86065,71161.93135,71161.93135,12038.28067,12196.40388
14765.78243,14855.07459,17713.34862,18037.87604,60035.82518,60035.82518,16155.81893,17161.24053
10821.08655,10801.10578,17227.63991,17316.16334,48203.11058,48203.11058,13287.16949,13539.32122
