con-par,,rand-par,,cont-min,,rand-min,
baseline,workload1,baseline,workload1,baseline,workload1,baseline,workload1
335916369.8,336542332.6,218240311.7,243756531.5,992523260.8,992523260.8,485829663.6,550971420.4
335916711.6,336536953.4,218238656.1,243756531.7,992521942.6,992521942.6,485827181.1,550926845.8
335914308.8,336541751.2,218246606.4,243666966.1,992524175.8,992524175.8,485829664.9,550923320.7
335918182.5,336536127.4,218235760,243756530.2,992519197.2,992519197.2,485828007.2,550977711.7
335918517.6,336540095.7,218249306.2,243667990.8,992521028.6,992521028.6,485835409.6,550871899.9
335919516.5,336536202,218240693,243763204.6,992518458.4,992518458.4,485830044.4,550983558
335920595.9,336536039.7,218245779.6,243666139.2,992519120.3,992519120.3,485828838,550922493.6
335916201.9,336537933.4,218242184,243757575.3,992519122,992519122,485829945.4,550978756.8
335914148.2,336540165.8,218237167.4,243663665.2,992519698.7,992519698.7,485826517,550926466.3
335916963.8,336539923.7,218246777.5,243664483.5,992521694.2,992521694.2,485832645.1,550869135.4
335917208.4,336541329.7,218240694.7,243662863.3,992522269.6,992522269.6,485832261.2,550923701
335914293.7,336540838.7,218250132,243671321.1,992517716.4,992517716.4,485837000.2,550873490.5
335917114.1,336542330.1,218247984.7,243760722,992518295.6,992518295.6,485837727,550938156.2
335917239.1,336538696.5,218246987.5,243667347.1,992522433.6,992522433.6,485838555.9,550875046.2
335917489.5,336542668.2,218250133.3,243668751.7,992522520.7,992522520.7,485831537.2,550868027.5
335919527.9,336540009.8,218244752.7,243752938.1,992518547.3,992518547.3,485831600.9,550936665.6
335917296,336538762.6,218250553.1,243762376.8,992519122.3,992519122.3,485833917.4,550933519.3
335916286.5,336537693.5,218244371.1,243758849.7,992521944.3,992521944.3,485825753.3,550923700.1
335913967.4,336537354.9,218245034,243749411.2,992522521.3,992522521.3,485826352.8,550930654.7
335918183.1,336538519.7,218246603.9,243665139.1,992517140,992517140,485828008.3,550864498.6
335916776.5,336540010.5,218246158.9,243668175.4,992516888,992516888,485834746.7,550929165.6
335920258.5,336535548.1,218239287.6,243766350.5,992519285.6,992519285.6,485831600.3,550987532
335916284.9,336538779.3,218246987,243665671.6,992519035,992519035,485833090.4,550869580.7
335913966.3,336541908,218252733,243673092.6,992518034,992518034,485834965.2,550871455.5
335909992,336545053.5,218243841.4,243665924.1,992519862.5,992519862.5,485837065.5,550933140.5
335912070,336545724.8,218247517.8,243760254.5,992519374.5,992519374.5,485829663.2,550926846.4
335913149.4,336543563.5,218241225.4,243762824,992522181.5,992522181.5,485827093.2,550926846.7
335917936.1,336545641.2,218249007.2,243752556.8,992517458.9,992517458.9,485830326.1,550929991.4
335915535.3,336546304.1,218241226.5,243761996.3,992520115.5,992520115.5,485829665.2,550933138.3
335917489.6,336543582,218242633.2,243663737,992519286,992519286,485827758,550925639.9
335914341.9,336545814,218250415.1,243670774.8,992520775.4,992520775.4,485832647.3,550869137.6
335914545.1,336543155.9,218244371,243758849.4,992517456.7,992517456.7,485826516.4,550929992.6
335913053.4,336541255.3,218250666.1,243670856.8,992520113.7,992520113.7,485832811.6,550932759.8
335916045.7,336539012.1,218245778.9,243666138.5,992518796.9,992518796.9,485830158.9,550866649.2
335914555,336540762.6,218242629.5,243758850.2,992520778,992520778,485831981.5,550973739.1
335915864.4,336541666.1,218244371.8,243765142.2,992516051.1,992516051.1,485832810.5,550929991.2
335913631,336542245.1,218240691.6,243756911,992517882.6,992517882.6,485833917.3,550939811.2
335914544.8,336535298.5,218250217.4,243757575.4,992515313.1,992515313.1,485831536.3,550935838.2
335913139.7,336540099.9,218240694.5,243662777.3,992515974.7,992515974.7,485833918.7,550929993.6
335919433.4,336536618.2,218249752.5,243670112.1,992521440.3,992521440.3,485832810.9,550926466.7
335918026.2,336539676.7,218240312.3,243762823.6,992522016.1,992522016.1,485823373.3,550976884.5
335918368.3,336536043.4,218242097.1,243758316.5,992526495.3,992526495.3,485835322.8,550941216.7
335916049.7,336539100.1,218244371.5,243763400.9,992527071.8,992527071.8,485826516.9,550923700.1
335919181.3,336536779.1,218251326.2,243756531.5,992520862.7,992520862.7,485832643.8,550926846.4
335920345.1,336538271,218246242.1,243756912.3,992521441.5,992521441.5,485834746.3,550933519.7
335922211.6,336536257.3,218244951.1,243665310.7,992525579.8,992525579.8,485827183.3,550863673.6
335920721.1,336537781.1,218243458.7,243753385,992525667,992525667,485826519.7,550974566.6
335918354.3,336536863.6,218243461.1,243663820.7,992521693,992521693,485826519.5,550920175.1
335920260,336539185,218249837.1,243667627.4,992522267.9,992522267.9,485829500,550865990.3
335919431.7,336536378.9,218241605.9,243763203.8,992525089.5,992525089.5,485828454.6,550933519.9
335917114.5,336537696.1,218250795.6,243671155.2,992525668.6,992525668.6,485835158.1,550871648.4
335920501.1,336534460.2,218246440.4,243666800,992519457.9,992519457.9,485828672.6,550865162.9
